190001,32.9,1.6
190002,31.4,-1.8
190003,36.5,-5.7
190004,50.9,-1.2
190005,62.2,-0.1
190006,70.8,0.3
190007,76.4,1.5
190008,77.1,4.2
190009,71.7,5.2
190010,59.0,3.9
190011,46.4,2.5
190012,33.8,-0.3
190101,32.8,1.5
190102,27.1,-6.1
190103,43.0,0.8
190104,48.2,-3.9
190105,60.5,-1.8
190106,70.0,-0.5
190107,77.4,2.5
190108,73.1,0.2
190109,65.0,-1.5
190110,53.6,-1.5
190111,38.2,-5.7
190112,30.5,-3.6
190201,28.5,-2.8
190202,26.1,-7.1
190203,44.0,1.8
190204,50.8,-1.3
190205,65.1,2.8
190206,71.0,0.5
190207,76.0,1.1
190208,71.0,-1.9
190209,64.8,-1.7
190210,56.0,0.9
190211,48.9,5.0
190212,31.1,-3.0
190301,29.6,-1.7
190302,33.8,0.6
190303,48.2,6.0
190304,50.9,-1.2
190305,62.6,0.3
190306,65.5,-5.0
190307,73.7,-1.2
190308,70.2,-2.7
190309,64.7,-1.8
190310,55.1,0.0
190311,38.9,-5.0
190312,28.0,-6.1
190401,22.3,-9.0
190402,25.2,-8.0
190403,40.4,-1.8
190404,47.2,-4.9
190405,62.8,0.5
190406,69.6,-0.9
190407,72.7,-2.2
190408,70.2,-2.7
190409,66.4,-0.1
190410,52.4,-2.7
190411,40.0,-3.9
190412,26.2,-7.9
190501,25.3,-6.0
190502,23.7,-9.5
190503,43.1,0.9
190504,51.8,-0.3
190505,63.9,1.6
190506,70.3,-0.2
190507,74.4,-0.5
190508,71.6,-1.3
190509,66.6,0.1
190510,55.1,0.0
190511,41.4,-2.5
190512,33.9,-0.2
190601,37.3,6.0
190602,31.5,-1.7
190603,35.2,-7.0
190604,54.0,1.9
190605,63.3,1.0
190606,71.9,1.4
190607,74.3,-0.6
190608,75.3,2.4
190609,70.0,3.5
190610,53.8,-1.3
190611,44.5,0.6
190612,32.8,-1.3
190701,33.0,1.7
190702,25.6,-7.6
190703,45.8,3.6
190704,46.9,-5.2
190705,58.2,-4.1
190706,64.9,-5.6
190707,73.2,-1.7
190708,70.8,-2.1
190709,67.1,0.6
190710,49.8,-5.3
190711,40.9,-3.0
190712,34.5,0.4
190801,30.2,-1.1
190802,27.1,-6.1
190803,45.2,3.0
190804,53.8,1.7
190805,63.2,0.9
190806,69.8,-0.7
190807,75.6,0.7
190808,70.5,-2.4
190809,65.0,-1.5
190810,56.0,0.9
190811,42.4,-1.5
190812,34.2,0.1
190901,31.7,0.4
190902,40.0,6.8
190903,40.5,-1.7
190904,51.8,-0.3
190905,62.1,-0.2
190906,71.1,0.6
190907,73.2,-1.7
190908,71.6,-1.3
190909,64.7,-1.8
190910,50.5,-4.6
190911,48.0,4.1
190912,28.0,-6.1
191001,30.1,-1.2
191002,31.2,-2.0
191003,49.1,6.9
191004,55.4,3.3
191005,59.6,-2.7
191006,67.9,-2.6
191007,75.5,0.6
191008,72.3,-0.6
191009,69.4,2.9
191010,58.0,2.9
191011,38.8,-5.1
191012,25.6,-8.5
191101,34.3,3.0
191102,34.4,1.2
191103,38.4,-3.8
191104,49.2,-2.9
191105,68.4,6.1
191106,70.8,0.3
191107,76.4,1.5
191108,73.7,0.8
191109,67.9,1.4
191110,54.7,-0.4
191111,40.6,-3.3
191112,38.6,4.5
191201,21.6,-9.7
191202,26.9,-6.3
191203,38.5,-3.7
191204,54.4,2.3
191205,64.4,2.1
191206,68.4,-2.1
191207,73.9,-1.0
191208,70.3,-2.6
191209,68.4,1.9
191210,56.1,1.0
191211,44.1,0.2
191212,35.7,1.6
191301,39.2,7.9
191302,33.6,0.4
191303,46.5,4.3
191304,53.6,1.5
191305,61.8,-0.5
191306,70.9,0.4
191307,75.2,0.3
191308,72.1,-0.8
191309,65.1,-1.4
191310,56.4,1.3
191311,45.1,1.2
191312,37.9,3.8
191401,34.2,2.9
191402,26.2,-7.0
191403,37.0,-5.2
191404,51.0,-1.1
191405,65.3,3.0
191406,72.8,2.3
191407,74.0,-0.9
191408,73.6,0.7
191409,63.8,-2.7
191410,58.3,3.2
191411,42.6,-1.3
191412,29.3,-4.8
191501,31.6,0.3
191502,35.2,2.0
191503,36.5,-5.7
191504,57.7,5.6
191505,60.7,-1.6
191506,68.6,-1.9
191507,74.3,-0.6
191508,71.6,-1.3
191509,68.6,2.1
191510,56.3,1.2
191511,43.0,-0.9
191512,31.4,-2.7
191601,35.9,4.6
191602,31.6,-1.6
191603,35.1,-7.1
191604,51.3,-0.8
191605,64.9,2.6
191606,67.2,-3.3
191607,75.3,0.4
191608,73.4,0.5
191609,64.4,-2.1
191610,53.8,-1.3
191611,43.8,-0.1
191612,31.8,-2.3
191701,31.5,0.2
191702,31.2,-2.0
191703,40.5,-1.7
191704,51.9,-0.2
191705,57.2,-5.1
191706,69.4,-1.1
191707,73.9,-1.0
191708,72.3,-0.6
191709,60.8,-5.7
191710,48.4,-6.7
191711,39.5,-4.4
191712,23.4,-10.7
191801,19.0,-12.3
191802,32.7,-0.5
191803,46.4,4.2
191804,49.6,-2.5
191805,67.8,5.5
191806,68.2,-2.3
191807,71.7,-3.2
191808,74.5,1.6
191809,61.6,-4.9
191810,57.6,2.5
191811,41.4,-2.5
191812,37.7,3.6
191901,34.8,3.5
191902,33.4,0.2
191903,43.8,1.6
191904,50.7,-1.4
191905,61.5,-0.8
191906,71.8,1.3
191907,74.7,-0.2
191908,70.7,-2.2
191909,67.2,0.7
191910,60.8,5.7
191911,43.3,-0.6
191912,28.4,-5.7
192001,26.1,-5.2
192002,29.5,-3.7
192003,42.2,0.0
192004,49.3,-2.8
192005,58.3,-4.0
192006,69.0,-1.5
192007,72.6,-2.3
192008,72.0,-0.9
192009,67.1,0.6
192010,59.8,4.7
192011,41.6,-2.3
192012,35.4,1.3
192101,33.1,1.8
192102,36.5,3.3
192103,52.4,10.2
192104,58.1,6.0
192105,61.3,-1.0
192106,72.2,1.7
192107,77.0,2.1
192108,70.4,-2.5
192109,72.2,5.7
192110,55.4,0.3
192111,44.8,0.9
192112,34.3,0.2
192201,27.7,-3.6
192202,35.9,2.7
192203,42.8,0.6
192204,52.7,0.6
192205,64.8,2.5
192206,72.8,2.3
192207,74.5,-0.4
192208,70.7,-2.2
192209,68.6,2.1
192210,57.5,2.4
192211,44.6,0.7
192212,34.7,0.6
192301,32.5,1.2
192302,29.2,-4.0
192303,42.7,0.5
192304,51.1,-1.0
192305,61.2,-1.1
192306,73.5,3.0
192307,74.5,-0.4
192308,71.7,-1.2
192309,67.1,0.6
192310,53.3,-1.8
192311,41.7,-2.2
192312,41.7,7.6
192401,31.1,-0.2
192402,30.2,-3.0
192403,39.7,-2.5
192404,49.1,-3.0
192405,58.1,-4.2
192406,69.5,-1.0
192407,72.4,-2.5
192408,73.0,0.1
192409,61.4,-5.1
192410,56.0,0.9
192411,42.9,-1.0
192412,33.0,-1.1
192501,28.5,-2.8
192502,38.6,5.4
192503,44.1,1.9
192504,54.1,2.0
192505,58.4,-3.9
192506,75.9,5.4
192507,74.3,-0.6
192508,71.8,-1.1
192509,71.5,5.0
192510,49.2,-5.9
192511,40.8,-3.1
192512,33.4,-0.7
192601,30.2,-1.1
192602,32.9,-0.3
192603,37.6,-4.6
192604,48.7,-3.4
192605,63.5,1.2
192606,67.2,-3.3
192607,75.0,0.1
192608,74.0,1.1
192609,66.9,0.4
192610,53.8,-1.3
192611,40.9,-3.0
192612,30.0,-4.1
192701,30.6,-0.7
192702,38.2,5.0
192703,44.7,2.5
192704,48.3,-3.8
192705,61.5,-0.8
192706,66.3,-4.2
192707,74.5,-0.4
192708,68.1,-4.8
192709,68.8,2.3
192710,58.3,3.2
192711,48.4,4.5
192712,35.3,1.2
192801,33.2,1.9
192802,34.1,0.9
192803,40.8,-1.4
192804,48.8,-3.3
192805,61.4,-0.9
192806,68.1,-2.4
192807,75.5,0.6
192808,74.0,1.1
192809,62.2,-4.3
192810,56.2,1.1
192811,44.9,1.0
192812,35.8,1.7
192901,29.9,-1.4
192902,31.3,-1.9
192903,47.4,5.2
192904,55.5,3.4
192905,60.7,-1.6
192906,69.8,-0.7
192907,73.3,-1.6
192908,71.6,-1.3
192909,67.9,1.4
192910,52.9,-2.2
192911,44.2,0.3
192912,35.2,1.1
193001,32.2,0.9
193002,38.9,5.7
193003,41.6,-0.6
193004,50.2,-1.9
193005,64.9,2.6
193006,72.0,1.5
193007,77.8,2.9
193008,75.2,2.3
193009,73.9,7.4
193010,53.4,-1.7
193011,43.5,-0.4
193012,31.3,-2.8
193101,34.3,3.0
193102,36.1,2.9
193103,38.1,-4.1
193104,50.6,-1.5
193105,62.3,0.0
193106,72.0,1.5
193107,78.8,3.9
193108,73.7,0.8
193109,71.9,5.4
193110,58.1,3.0
193111,50.8,6.9
193112,40.9,6.8
193201,42.9,11.6
193202,40.5,7.3
193203,37.2,-5.0
193204,50.1,-2.0
193205,62.2,-0.1
193206,71.4,0.9
193207,76.1,1.2
193208,75.5,2.6
193209,68.6,2.1
193210,54.6,-0.5
193211,41.2,-2.7
193212,36.6,2.5
193301,39.6,8.3
193302,34.9,1.7
193303,39.7,-2.5
193304,52.6,0.5
193305,65.2,2.9
193306,72.9,2.4
193307,74.5,-0.4
193308,74.0,1.1
193309,70.0,3.5
193310,53.9,-1.2
193311,41.3,-2.6
193312,35.6,1.5
193401,35.9,4.6
193402,22.0,-11.2
193403,38.2,-4.0
193404,51.4,-0.7
193405,64.5,2.2
193406,75.3,4.8
193407,78.6,3.7
193408,72.2,-0.7
193409,67.8,1.3
193410,54.2,-0.9
193411,46.4,2.5
193412,33.8,-0.3
193501,29.0,-2.3
193502,31.5,-1.7
193503,46.1,3.9
193504,49.0,-3.1
193505,59.5,-2.8
193506,70.3,-0.2
193507,78.1,3.2
193508,74.4,1.5
193509,64.7,-1.8
193510,55.2,0.1
193511,46.7,2.8
193512,28.4,-5.7
193601,25.7,-5.6
193602,25.2,-8.0
193603,46.2,4.0
193604,48.9,-3.2
193605,65.1,2.8
193606,70.6,0.1
193607,76.8,1.9
193608,76.3,3.4
193609,69.2,2.7
193610,57.0,1.9
193611,41.1,-2.8
193612,35.2,1.1
193701,39.5,8.2
193702,32.6,-0.6
193703,38.8,-3.4
193704,49.9,-2.2
193705,63.8,1.5
193706,73.1,2.6
193707,74.5,-0.4
193708,75.6,2.7
193709,63.7,-2.8
193710,52.2,-2.9
193711,43.4,-0.5
193712,33.4,-0.7
193801,31.3,0.0
193802,38.6,5.4
193803,46.0,3.8
193804,53.8,1.7
193805,61.9,-0.4
193806,70.4,-0.1
193807,76.7,1.8
193808,76.5,3.6
193809,65.5,-1.0
193810,56.0,0.9
193811,45.9,2.0
193812,33.3,-0.8
193901,33.2,1.9
193902,37.9,4.7
193903,43.5,1.3
193904,49.6,-2.5
193905,65.5,3.2
193906,73.3,2.8
193907,74.0,-0.9
193908,76.7,3.8
193909,67.6,1.1
193910,56.0,0.9
193911,42.2,-1.7
193912,36.0,1.9
194001,20.0,-11.3
194002,32.8,-0.4
194003,37.4,-4.8
194004,47.5,-4.6
194005,62.1,-0.2
194006,71.8,1.3
194007,75.0,0.1
194008,70.6,-2.3
194009,63.7,-2.8
194010,52.7,-2.4
194011,43.5,-0.4
194012,38.4,4.3
194101,29.8,-1.5
194102,30.5,-2.7
194103,36.8,-5.4
194104,56.8,4.7
194105,64.4,2.1
194106,70.4,-0.1
194107,74.9,0.0
194108,72.6,-0.3
194109,70.0,3.5
194110,61.5,6.4
194111,46.7,2.8
194112,37.7,3.6
194201,30.3,-1.0
194202,30.8,-2.4
194203,43.6,1.4
194204,55.2,3.1
194205,65.5,3.2
194206,71.5,1.0
194207,75.4,0.5
194208,72.2,-0.7
194209,66.7,0.2
194210,56.4,1.3
194211,44.7,0.8
194212,30.3,-3.8
194301,31.9,0.6
194302,34.6,1.4
194303,40.9,-1.3
194304,47.8,-4.3
194305,64.2,1.9
194306,76.4,5.9
194307,75.3,0.4
194308,76.0,3.1
194309,65.0,-1.5
194310,53.4,-1.7
194311,42.2,-1.7
194312,33.3,-0.8
194401,32.8,1.5
194402,34.1,0.9
194403,38.8,-3.4
194404,49.8,-2.3
194405,68.7,6.4
194406,73.0,2.5
194407,76.1,1.2
194408,74.4,1.5
194409,67.6,1.1
194410,53.8,-1.3
194411,43.5,-0.4
194412,29.8,-4.3
194501,25.9,-5.4
194502,33.6,0.4
194503,52.8,10.6
194504,55.2,3.1
194505,60.1,-2.2
194506,70.7,0.2
194507,74.0,-0.9
194508,71.9,-1.0
194509,69.6,3.1
194510,54.0,-1.1
194511,44.7,0.8
194512,29.0,-5.1
194601,32.6,1.3
194602,34.4,1.2
194603,49.8,7.6
194604,52.1,0.0
194605,62.1,-0.2
194606,69.3,-1.2
194607,73.8,-1.1
194608,69.3,-3.6
194609,66.9,0.4
194610,58.0,2.9
194611,47.7,3.8
194612,38.3,4.2
194701,37.3,6.0
194702,27.5,-5.7
194703,35.2,-7.0
194704,53.8,1.7
194705,61.6,-0.7
194706,68.9,-1.6
194707,72.4,-2.5
194708,75.6,2.7
194709,67.3,0.8
194710,60.9,5.8
194711,41.8,-2.1
194712,32.5,-1.6
194801,24.8,-6.5
194802,33.2,0.0
194803,45.2,3.0
194804,53.2,1.1
194805,62.3,0.0
194806,71.2,0.7
194807,74.1,-0.8
194808,72.0,-0.9
194809,65.8,-0.7
194810,52.8,-2.3
194811,48.5,4.6
194812,36.1,2.0
194901,38.9,7.6
194902,39.8,6.6
194903,43.2,1.0
194904,51.7,-0.4
194905,62.8,0.5
194906,72.0,1.5
194907,78.0,3.1
194908,74.0,1.1
194909,63.1,-3.4
194910,59.6,4.5
194911,44.1,0.2
194912,37.0,2.9
195001,41.9,10.6
195002,34.2,1.0
195003,38.2,-4.0
195004,48.7,-3.4
195005,62.0,-0.3
195006,70.0,-0.5
195007,72.4,-2.5
195008,72.6,-0.3
195009,63.8,-2.7
195010,56.2,1.1
195011,43.3,-0.6
195012,30.7,-3.4
195101,34.2,2.9
195102,34.8,1.6
195103,41.5,-0.7
195104,51.8,-0.3
195105,62.0,-0.3
195106,70.2,-0.3
195107,75.1,0.2
195108,72.8,-0.1
195109,66.0,-0.5
195110,57.4,2.3
195111,39.0,-4.9
195112,35.5,1.4
195201,36.4,5.1
195202,36.8,3.6
195203,40.1,-2.1
195204,53.3,1.2
195205,60.9,-1.4
195206,73.4,2.9
195207,77.2,2.3
195208,72.8,-0.1
195209,65.3,-1.2
195210,51.6,-3.5
195211,44.6,0.7
195212,34.9,0.8
195301,36.8,5.5
195302,38.8,5.6
195303,43.7,1.5
195304,51.7,-0.4
195305,66.2,3.9
195306,71.1,0.6
195307,76.2,1.3
195308,73.4,0.5
195309,66.1,-0.4
195310,57.2,2.1
195311,44.2,0.3
195312,36.6,2.5
195401,31.9,0.6
195402,39.2,6.0
195403,42.0,-0.2
195404,56.2,4.1
195405,59.0,-3.3
195406,71.3,0.8
195407,74.4,-0.5
195408,71.7,-1.2
195409,68.1,1.6
195410,57.8,2.7
195411,40.7,-3.2
195412,33.4,-0.7
195501,30.6,-0.7
195502,33.2,0.0
195503,43.7,1.5
195504,55.1,3.0
195505,63.7,1.4
195506,66.6,-3.9
195507,78.7,3.8
195508,75.6,2.7
195509,65.6,-0.9
195510,55.6,0.5
195511,40.9,-3.0
195512,29.4,-4.7
195601,30.6,-0.7
195602,36.9,3.7
195603,40.2,-2.0
195604,49.8,-2.3
195605,60.7,-1.6
195606,70.4,-0.1
195607,73.0,-1.9
195608,71.9,-1.0
195609,63.5,-3.0
195610,56.0,0.9
195611,43.9,0.0
195612,41.8,7.7
195701,29.2,-2.1
195702,37.6,4.4
195703,42.1,-0.1
195704,55.4,3.3
195705,63.6,1.3
195706,72.4,1.9
195707,74.3,-0.6
195708,71.9,-1.0
195709,67.8,1.3
195710,51.2,-3.9
195711,44.8,0.9
195712,37.0,2.9
195801,30.2,-1.1
195802,27.6,-5.6
195803,37.8,-4.4
195804,52.9,0.8
195805,61.3,-1.0
195806,67.5,-3.0
195807,75.4,0.5
195808,71.7,-1.2
195809,65.2,-1.3
195810,54.8,-0.3
195811,46.0,2.1
195812,28.2,-5.9
195901,29.9,-1.4
195902,34.8,1.6
195903,41.6,-0.6
195904,55.0,2.9
195905,65.5,3.2
195906,71.0,0.5
195907,74.8,-0.1
195908,76.0,3.1
195909,69.0,2.5
195910,57.7,2.6
195911,42.3,-1.6
195912,37.3,3.2
196001,34.0,2.7
196002,33.6,0.4
196003,31.2,-11.0
196004,56.9,4.8
196005,59.8,-2.5
196006,69.7,-0.8
196007,72.4,-2.5
196008,74.6,1.7
196009,66.5,0.0
196010,54.6,-0.5
196011,45.3,1.4
196012,26.9,-7.2
196101,26.1,-5.2
196102,35.0,1.8
196103,44.4,2.2
196104,47.8,-4.3
196105,58.0,-4.3
196106,69.7,-0.8
196107,74.6,-0.3
196108,73.6,0.7
196109,70.9,4.4
196110,56.3,1.2
196111,46.4,2.5
196112,32.6,-1.5
196201,31.4,0.1
196202,31.3,-1.9
